txn_id,customer_id,txn_date,txn_amount,txn_type,channel
47,634,2025-08-20 22:17:04.824493,4860.11,withdrawal,app
48,181,2024-12-27 22:17:04.824495,2820.33,withdrawal,atm
49,45,2025-08-25 22:17:04.824496,1890.44,withdrawal,branch
50,65,2025-01-19 22:17:04.824498,3421.29,deposit,atm
51,718,2025-03-05 22:17:04.824500,1730.17,payment,app
52,390,2025-04-07 22:17:04.824502,14.82,payment,app
53,83,2024-12-23 22:17:04.824503,436.72,deposit,atm
54,813,2025-04-28 22:17:04.824505,3885.96,withdrawal,branch
55,959,2025-04-10 22:17:04.824507,4415.92,deposit,app
56,776,2024-11-19 22:17:04.824508,2201.95,withdrawal,app
57,558,2024-09-25 22:17:04.824510,390.52,deposit,branch
58,414,2025-07-30 22:17:04.824512,3498.15,deposit,atm
59,780,2025-06-14 22:17:04.824513,2401.92,withdrawal,app
60,132,2025-04-22 22:17:04.824515,2640.32,deposit,branch
61,33,2024-10-04 22:17:04.824516,2402.31,payment,app
62,793,2025-05-03 22:17:04.824518,4211.22,deposit,branch
63,568,2024-12-14 22:17:04.824519,2104.92,deposit,app
64,64,2024-10-09 22:17:04.824521,2607.35,payment,branch
65,688,2025-08-23 22:17:04.824523,4437.6,deposit,app
66,352,2025-02-14 22:17:04.824525,2361.4,deposit,app
67,237,2025-05-01 22:17:04.824526,3290.4,deposit,atm
68,949,2024-11-08 22:17:04.824528,4586.07,payment,app
69,21,2025-06-11 22:17:04.824530,854.09,deposit,atm
70,300,2025-09-01 22:17:04.824531,2090.41,withdrawal,app
71,56,2025-07-11 22:17:04.824533,4564.41,deposit,atm
72,65,2025-07-21 22:17:04.824534,4850.64,deposit,app
73,377,2025-04-11 22:17:04.824536,1360.1,deposit,branch
74,673,2025-03-02 22:17:04.824538,2247.79,withdrawal,branch
75,817,2025-03-03 22:17:04.824539,2925.31,deposit,atm
76,850,2025-06-02 22:17:04.824541,4974.24,deposit,branch
77,953,2025-04-20 22:17:04.824542,3350.08,withdrawal,atm
78,166,2024-12-26 22:17:04.824544,1969.57,payment,atm
79,235,2024-10-22 22:17:04.824546,4716.4,payment,atm
80,205,2025-03-04 22:17:04.824548,2661.39,deposit,atm
81,721,2024-11-10 22:17:04.824549,4743.63,withdrawal,app
82,708,2025-04-19 22:17:04.824551,2019.61,deposit,atm
83,964,2024-10-31 22:17:04.824553,2254.82,payment,branch
84,291,2025-04-28 22:17:04.824554,1911.29,payment,branch
85,665,2025-05-10 22:17:04.824556,3487.63,withdrawal,atm
86,946,2025-02-15 22:17:04.824557,1956.39,deposit,atm
87,864,2025-06-17 22:17:04.824559,2048.39,payment,branch
88,378,2024-10-24 22:17:04.824560,438.2,withdrawal,app
89,499,2024-09-27 22:17:04.824562,4256.81,payment,branch
90,580,2024-11-27 22:17:04.824564,4481.31,withdrawal,atm
91,456,2025-08-19 22:17:04.824565,153.61,payment,app
92,951,2025-05-31 22:17:04.824567,946.44,deposit,atm
93,642,2024-10-14 22:17:04.824569,4470.81,withdrawal,atm
94,722,2025-02-21 22:17:04.824571,3159.08,payment,branch
95,751,2025-06-30 22:17:04.824572,262.58,deposit,atm
96,718,2025-01-02 22:17:04.824574,1255.43,payment,branch
97,566,2025-01-15 22:17:04.824575,1721.59,withdrawal,atm
98,689,2025-01-21 22:17:04.824577,4368.64,payment,app
99,336,2025-01-05 22:17:04.824579,3110.81,withdrawal,atm
100,605,2025-08-04 22:17:04.824580,872.03,withdrawal,atm
101,701,2025-01-23 22:17:04.824582,765.92,payment,app
102,523,2025-02-05 22:17:04.824584,4058.04,deposit,branch
103,536,2025-03-28 22:17:04.824585,1234.89,deposit,atm
104,489,2025-06-01 22:17:04.824586,2028.31,payment,app
105,610,2025-08-03 22:17:04.824588,4548.64,withdrawal,atm
106,119,2025-01-01 22:17:04.824590,1303.59,withdrawal,atm
107,960,2024-12-17 22:17:04.824592,3383.18,payment,branch
108,755,2025-09-10 22:17:04.824593,3385.15,withdrawal,branch
109,732,2025-02-08 22:17:04.824595,2340.08,withdrawal,app
110,802,2025-08-18 22:17:04.824597,3359.26,payment,branch
111,933,2025-05-18 22:17:04.824599,2272.96,withdrawal,atm
112,743,2025-04-04 22:17:04.824600,1648.35,payment,branch
113,182,2024-11-28 22:17:04.824602,16.47,payment,app
114,157,2025-04-21 22:17:04.824609,4268.4,payment,atm
115,460,2024-11-01 22:17:04.824610,1251.7,payment,atm
116,950,2025-02-23 22:17:04.824612,2923.94,withdrawal,atm
117,660,2025-07-31 22:17:04.824613,831.86,payment,branch
118,103,2025-03-13 22:17:04.824615,3135.63,deposit,atm
119,485,2024-11-15 22:17:04.824617,1557.19,deposit,app
120,823,2024-11-26 22:17:04.824618,2499.01,payment,atm
121,423,2025-09-10 22:17:04.824620,2638.48,deposit,atm
122,493,2025-04-27 22:17:04.824622,2948.68,deposit,atm
123,558,2025-05-10 22:17:04.824625,4045.85,payment,atm
124,88,2025-09-18 22:17:04.824627,103.96,withdrawal,atm
125,767,2024-10-03 22:17:04.824628,340.96,payment,app
126,182,2024-11-16 22:17:04.824630,3867.48,payment,branch
127,246,2025-04-23 22:17:04.824631,3138.93,deposit,branch
128,230,2025-03-21 22:17:04.824633,3844.52,payment,app
129,569,2025-08-10 22:17:04.824635,1954.08,withdrawal,app
130,199,2025-06-12 22:17:04.824637,4076.92,withdrawal,branch
131,779,2025-01-29 22:17:04.824638,3722.72,withdrawal,atm
132,223,2025-01-01 22:17:04.824640,862.98,payment,atm
133,307,2025-08-05 22:17:04.824642,1779.64,payment,app
134,60,2025-04-17 22:17:04.824643,4500.59,deposit,app
135,591,2025-01-14 22:17:04.824645,2089.56,withdrawal,atm
136,674,2025-06-13 22:17:04.824647,2551.15,deposit,app
137,312,2025-02-04 22:17:04.824648,1838.45,withdrawal,app
138,52,2025-02-19 22:17:04.824650,2598.98,deposit,atm
139,248,2025-06-24 22:17:04.824651,3276.17,payment,atm
140,611,2025-06-20 22:17:04.824653,630.28,payment,branch
141,194,2025-05-13 22:17:04.824655,4241.89,deposit,app
142,526,2024-12-14 22:17:04.824656,1743.41,withdrawal,atm
143,883,2025-04-15 22:17:04.824658,2299.7,payment,branch
144,291,2025-02-23 22:17:04.824659,323.14,deposit,app
145,792,2024-10-31 22:17:04.824661,2065.41,withdrawal,branch
146,868,2025-05-03 22:17:04.824662,979.18,deposit,app
147,494,2025-06-07 22:17:04.824664,4415.63,payment,atm
148,450,2025-04-21 22:17:04.824666,2388.19,deposit,branch
149,842,2025-05-03 22:17:04.824667,3082.42,withdrawal,atm
150,856,2025-04-10 22:17:04.824669,2040.38,deposit,atm
151,520,2025-07-24 22:17:04.824671,2012.03,withdrawal,atm
152,386,2025-09-18 22:17:04.824672,4574.53,deposit,atm
153,926,2024-11-29 22:17:04.824674,3751.98,payment,app
154,569,2025-04-15 22:17:04.824676,3121.08,withdrawal,branch
155,78,2025-08-26 22:17:04.824677,42.91,payment,app
156,794,2024-09-25 22:17:04.824678,4883.01,withdrawal,app
157,647,2025-04-05 22:17:04.824680,3001.99,payment,atm
158,155,2024-12-03 22:17:04.824682,3940.04,withdrawal,app
159,174,2024-12-30 22:17:04.824683,1005.3,payment,app
160,306,2025-03-10 22:17:04.824685,4970.24,withdrawal,app
161,311,2025-04-06 22:17:04.824686,2326.42,payment,branch
162,951,2024-11-23 22:17:04.824688,3313.63,payment,app
163,587,2024-12-24 22:17:04.824690,656.74,payment,branch
164,599,2025-03-25 22:17:04.824691,3211.34,withdrawal,app
165,558,2025-07-14 22:17:04.824693,3780.79,deposit,atm
166,828,2024-09-30 22:17:04.824695,2115.17,deposit,branch
167,361,2025-04-09 22:17:04.824696,1200.63,withdrawal,branch
168,571,2024-12-01 22:17:04.824698,3653.84,withdrawal,atm
169,787,2025-09-09 22:17:04.824699,3611.9,withdrawal,branch
170,977,2025-01-28 22:17:04.824701,228.66,withdrawal,branch
171,753,2024-10-10 22:17:04.824703,3503.32,deposit,atm
172,617,2025-04-20 22:17:04.824704,1521.17,deposit,app
173,989,2025-03-12 22:17:04.824706,1007.91,deposit,atm
174,482,2024-12-09 22:17:04.824708,642.18,deposit,app
175,363,2025-01-17 22:17:04.824709,639.46,deposit,app
176,646,2025-05-07 22:17:04.824711,3154.2,deposit,branch
177,57,2024-11-23 22:17:04.824713,3060.89,withdrawal,app
178,244,2024-11-07 22:17:04.824714,1638.38,withdrawal,branch
179,433,2025-01-26 22:17:04.824716,4223.77,deposit,branch
180,225,2025-01-26 22:17:04.824718,467.19,deposit,app
181,250,2024-10-29 22:17:04.824719,3816.99,withdrawal,branch
182,379,2024-10-01 22:17:04.824721,273.78,withdrawal,branch
183,423,2025-01-02 22:17:04.824722,1567.03,deposit,atm
184,928,2025-05-07 22:17:04.824724,2224.32,payment,app
185,893,2025-04-24 22:17:04.824725,3339.68,payment,branch
186,366,2024-12-20 22:17:04.824727,1027.89,deposit,branch
187,860,2025-05-31 22:17:04.824728,2039.09,payment,atm
188,372,2025-08-11 22:17:04.824730,1185.35,payment,atm
189,753,2025-01-13 22:17:04.824732,1968.58,deposit,atm
190,672,2025-03-03 22:17:04.824733,1020.32,payment,branch
191,313,2024-10-09 22:17:04.824735,4091.72,deposit,atm
192,63,2025-06-22 22:17:04.824737,3490.38,payment,branch
193,807,2025-03-12 22:17:04.824738,1677.44,withdrawal,atm
194,3,2025-08-04 22:17:04.824740,2420.69,deposit,branch
195,368,2025-09-18 22:17:04.824741,1350.74,deposit,branch
196,535,2025-06-13 22:17:04.824743,2092.29,withdrawal,app
197,17,2024-10-08 22:17:04.824744,4694.91,deposit,app
198,439,2025-03-25 22:17:04.824746,862.46,payment,atm
199,830,2025-05-13 22:17:04.824748,3090.12,payment,atm
200,841,2024-10-27 22:17:04.824749,591.85,deposit,atm
201,855,2024-12-05 22:17:04.824751,2028.18,payment,branch
202,554,2025-07-16 22:17:04.824753,155.17,withdrawal,branch
203,388,2024-10-20 22:17:04.824754,1981.72,payment,branch
204,498,2025-01-18 22:17:04.824756,3202.1,withdrawal,atm
205,488,2025-08-02 22:17:04.824758,2145.78,withdrawal,app
206,813,2025-02-27 22:17:04.824759,1759.55,deposit,app
207,990,2024-11-09 22:17:04.824761,4017.13,withdrawal,atm
208,959,2024-10-25 22:17:04.824762,3204.25,deposit,branch
209,418,2025-04-30 22:17:04.824764,1081.39,deposit,branch
210,963,2025-07-01 22:17:04.824766,4623.75,deposit,atm
211,652,2024-10-10 22:17:04.824767,851.16,payment,atm
212,661,2024-11-10 22:17:04.824769,3665.61,payment,atm
213,903,2025-06-18 22:17:04.824770,2800.87,payment,branch
214,253,2025-06-29 22:17:04.824772,553.22,payment,app
215,965,2024-11-21 22:17:04.824774,4868.78,withdrawal,branch
216,196,2024-10-07 22:17:04.824775,3134.24,deposit,branch
217,271,2025-09-13 22:17:04.824777,3552.87,payment,atm
218,796,2025-01-14 22:17:04.824779,4699.08,payment,atm
219,382,2025-03-17 22:17:04.824780,398.97,deposit,branch
220,408,2025-08-31 22:17:04.824782,4270.26,payment,branch
221,189,2025-02-04 22:17:04.824783,4406.73,payment,app
222,173,2025-06-17 22:17:04.824785,4550.26,payment,branch
223,591,2025-05-26 22:17:04.824786,4108.82,payment,app
224,432,2025-08-25 22:17:04.824788,2178.95,deposit,branch
225,207,2025-02-05 22:17:04.824790,1933.54,deposit,atm
226,341,2025-03-07 22:17:04.824791,1987.2,withdrawal,app
227,274,2024-10-19 22:17:04.824793,4811.77,deposit,app
228,601,2025-04-02 22:17:04.824794,2558.09,payment,branch
229,31,2025-03-24 22:17:04.824796,3544.92,payment,branch
230,811,2025-05-10 22:17:04.824797,531.9,deposit,app
231,119,2025-07-23 22:17:04.824799,1538.03,deposit,app
232,474,2024-10-01 22:17:04.824801,3387.79,withdrawal,branch
233,395,2025-02-05 22:17:04.824802,4440.28,withdrawal,app
234,468,2024-10-30 22:17:04.824804,3573.24,withdrawal,atm
235,443,2025-06-25 22:17:04.824806,579.75,deposit,branch
236,974,2025-05-16 22:17:04.824807,3832.17,deposit,branch
237,359,2025-01-29 22:17:04.824809,3871.5,payment,atm
238,238,2025-06-19 22:17:04.824811,2060.74,deposit,app
239,450,2025-06-11 22:17:04.824812,4798.3,deposit,app
240,295,2025-04-08 22:17:04.824814,595.19,payment,atm
241,588,2025-03-13 22:17:04.824815,87.72,deposit,atm
242,318,2024-09-21 22:17:04.824817,3188.46,withdrawal,atm
243,237,2025-05-14 22:17:04.824818,3908.16,withdrawal,atm
244,937,2025-07-15 22:17:04.824820,3102.4,withdrawal,app
245,782,2024-12-23 22:17:04.824821,3987.92,deposit,branch
246,102,2025-07-16 22:17:04.824823,4560.74,withdrawal,branch
247,684,2025-05-15 22:17:04.824825,3126.21,withdrawal,app
248,686,2025-07-09 22:17:04.824826,3394.56,payment,branch
249,942,2025-06-28 22:17:04.824828,4059.56,withdrawal,atm
250,704,2024-11-04 22:17:04.824829,2095.21,deposit,app
251,57,2025-05-27 22:17:04.824831,2943.12,deposit,app
252,514,2024-11-11 22:17:04.824832,3367.92,deposit,branch
253,125,2025-06-20 22:17:04.824834,3094.24,withdrawal,atm
254,966,2025-01-25 22:17:04.824836,4712.72,withdrawal,branch
255,357,2025-02-09 22:17:04.824838,1068.62,deposit,atm
256,250,2024-11-08 22:17:04.824839,3960.03,payment,app
257,174,2025-04-24 22:17:04.824841,3466.37,deposit,app
258,333,2025-05-10 22:17:04.824842,184.36,withdrawal,atm
259,856,2025-07-20 22:17:04.824844,979.31,withdrawal,atm
260,52,2025-03-16 22:17:04.824846,3911.93,withdrawal,atm
261,892,2025-07-04 22:17:04.824847,3358.01,payment,atm
262,437,2025-07-12 22:17:04.824849,4824.7,payment,atm
263,140,2025-09-11 22:17:04.824850,2616.67,withdrawal,branch
264,986,2025-07-16 22:17:04.824852,2150.71,withdrawal,atm
265,148,2025-04-14 22:17:04.824853,1868.62,payment,branch
266,863,2024-11-17 22:17:04.824855,83.22,withdrawal,app
267,374,2025-07-16 22:17:04.824857,2859.27,payment,app
268,724,2025-07-19 22:17:04.824858,3700.15,withdrawal,atm
269,408,2025-01-26 22:17:04.824860,3065.31,deposit,app
270,551,2024-11-20 22:17:04.824862,2909.84,deposit,app
271,670,2024-12-25 22:17:04.824864,40.57,deposit,app
272,968,2025-02-27 22:17:04.824866,279.12,deposit,branch
273,915,2025-02-25 22:17:04.824867,1351.6,withdrawal,app
274,984,2025-07-06 22:17:04.824869,660.6,withdrawal,app
275,156,2025-06-20 22:17:04.824870,1043.88,deposit,branch
276,759,2025-03-10 22:17:04.824872,1069.28,deposit,atm
277,92,2025-01-25 22:17:04.824873,4371.19,payment,branch
278,117,2024-11-02 22:17:04.824875,4729.03,withdrawal,app
279,175,2024-10-16 22:17:04.824877,1533.19,deposit,branch
280,301,2025-04-20 22:17:04.824878,157.81,deposit,atm
281,273,2024-12-01 22:17:04.824880,3510.87,deposit,atm
282,140,2025-08-18 22:17:04.824882,968.37,withdrawal,branch
283,184,2024-10-25 22:17:04.824883,2961.26,payment,branch
284,789,2025-01-14 22:17:04.824885,4330.6,payment,app
285,296,2025-06-14 22:17:04.824886,3411.47,withdrawal,app
286,54,2025-03-20 22:17:04.824888,4972.95,payment,atm
287,973,2024-11-04 22:17:04.824890,1998.0,withdrawal,app
288,283,2025-07-07 22:17:04.824891,3731.73,payment,atm
289,830,2025-06-02 22:17:04.824893,4466.02,payment,atm
290,854,2025-08-12 22:17:04.824894,973.55,deposit,atm
291,983,2025-04-24 22:17:04.824899,4176.89,deposit,app
292,913,2025-02-05 22:17:04.824901,2648.28,payment,app
293,730,2025-04-15 22:17:04.824904,2317.18,deposit,app
294,848,2025-02-19 22:17:04.824905,3356.77,deposit,atm
295,744,2024-11-07 22:17:04.824907,2603.64,payment,app
296,60,2025-04-18 22:17:04.824909,1091.71,deposit,atm
297,335,2025-08-20 22:17:04.824910,2081.38,withdrawal,app
298,459,2025-01-16 22:17:04.824912,2929.17,payment,branch
299,206,2025-03-04 22:17:04.824914,3116.28,withdrawal,branch
300,58,2025-04-03 22:17:04.824915,2154.21,payment,app
301,978,2024-12-06 22:17:04.824916,3979.47,deposit,atm
302,718,2025-05-19 22:17:04.824918,1566.61,payment,app
303,83,2025-08-24 22:17:04.824920,1467.55,deposit,branch
304,569,2025-01-22 22:17:04.824921,4661.73,withdrawal,atm
305,499,2025-03-16 22:17:04.824923,3634.42,deposit,atm
306,706,2024-11-14 22:17:04.824925,1513.27,withdrawal,app
307,480,2024-10-16 22:17:04.824926,295.64,payment,app
308,360,2025-02-02 22:17:04.824928,3736.57,payment,atm
309,642,2025-05-25 22:17:04.824929,1131.74,payment,app
310,340,2025-06-25 22:17:04.824932,2407.02,withdrawal,app
311,760,2025-03-30 22:17:04.824934,1251.52,payment,atm
312,402,2025-03-14 22:17:04.824935,2671.44,withdrawal,atm
313,970,2025-01-07 22:17:04.824937,3578.98,payment,app
314,320,2024-11-30 22:17:04.824939,3661.97,withdrawal,app
315,485,2025-02-04 22:17:04.824940,3015.62,deposit,branch
316,392,2025-09-19 22:17:04.824942,61.49,payment,app
317,51,2025-03-02 22:17:04.824944,3895.63,payment,branch
318,121,2025-01-05 22:17:04.824946,4649.96,deposit,atm
319,556,2024-12-29 22:17:04.824948,4395.96,payment,branch
320,690,2025-02-25 22:17:04.824950,3296.24,deposit,branch
321,844,2024-09-24 22:17:04.824951,291.29,payment,app
322,489,2025-09-13 22:17:04.824953,3927.46,deposit,atm
323,129,2025-03-06 22:17:04.824955,411.84,payment,branch
324,34,2024-12-24 22:17:04.824957,3005.57,withdrawal,app
325,876,2025-07-16 22:17:04.824959,332.58,deposit,branch
326,194,2024-11-02 22:17:04.824961,4194.98,withdrawal,app
327,854,2025-08-13 22:17:04.824963,758.24,deposit,app
328,331,2024-12-11 22:17:04.824964,3240.54,deposit,atm
329,730,2024-12-28 22:17:04.824966,609.71,payment,branch
330,254,2025-05-19 22:17:04.824967,333.1,withdrawal,app
331,498,2024-11-29 22:17:04.824969,4392.61,payment,app
332,776,2025-08-01 22:17:04.824970,2542.95,withdrawal,branch
333,118,2025-09-11 22:17:04.824972,2213.84,deposit,atm
334,847,2025-08-14 22:17:04.824974,1247.87,withdrawal,app
335,637,2025-01-11 22:17:04.824975,1654.98,deposit,app
336,141,2025-05-09 22:17:04.824977,1263.72,payment,app
337,865,2025-01-13 22:17:04.824979,4812.88,payment,atm
338,823,2025-04-21 22:17:04.824980,4691.67,payment,app
339,385,2025-09-10 22:17:04.824982,3568.11,withdrawal,branch
340,79,2025-09-14 22:17:04.824984,4732.02,withdrawal,atm
341,659,2025-01-12 22:17:04.824985,2046.21,payment,atm
342,682,2024-11-18 22:17:04.824987,951.2,payment,atm
343,956,2025-06-18 22:17:04.824988,968.62,withdrawal,branch
344,54,2025-04-19 22:17:04.824990,4192.9,withdrawal,branch
345,510,2025-06-10 22:17:04.824991,1355.05,deposit,app
346,753,2024-12-02 22:17:04.824993,944.35,payment,branch
347,73,2025-03-11 22:17:04.824995,1533.24,withdrawal,atm
348,722,2025-08-09 22:17:04.824996,416.94,deposit,branch
349,668,2025-04-06 22:17:04.824998,583.75,withdrawal,app
350,127,2025-05-14 22:17:04.824999,3136.47,withdrawal,branch
351,909,2025-04-28 22:17:04.825001,4300.94,deposit,atm
352,574,2025-04-28 22:17:04.825003,2746.21,withdrawal,app
353,91,2024-09-25 22:17:04.825004,847.27,payment,branch
354,673,2024-11-13 22:17:04.825007,1455.99,payment,app
355,607,2024-10-16 22:17:04.825008,1975.88,deposit,app
356,646,2025-01-03 22:17:04.825010,4365.9,payment,atm
357,865,2025-06-04 22:17:04.825012,897.01,payment,atm
358,916,2025-07-16 22:17:04.825013,4313.42,withdrawal,branch
359,677,2025-03-11 22:17:04.825015,320.75,payment,atm
360,684,2025-05-16 22:17:04.825016,494.66,payment,atm
361,523,2024-11-30 22:17:04.825018,2429.85,deposit,branch
362,2,2024-10-05 22:17:04.825020,3921.02,withdrawal,atm
363,471,2025-05-10 22:17:04.825021,3495.2,deposit,app
364,484,2025-08-07 22:17:04.825023,4417.71,payment,app
365,473,2025-04-26 22:17:04.825025,891.63,deposit,app
366,180,2025-02-15 22:17:04.825026,1217.09,deposit,app
367,162,2024-11-27 22:17:04.825027,1539.76,payment,atm
368,129,2025-01-15 22:17:04.825029,3612.34,payment,atm
369,587,2025-09-07 22:17:04.825031,4518.03,deposit,atm
370,965,2025-02-09 22:17:04.825034,3529.0,withdrawal,atm
371,224,2025-04-07 22:17:04.825036,3945.65,payment,app
372,416,2025-07-28 22:17:04.825037,4532.25,payment,atm
373,663,2025-09-15 22:17:04.825039,530.59,payment,app
374,839,2025-07-22 22:17:04.825040,501.38,deposit,branch
375,362,2025-01-17 22:17:04.825042,3411.73,payment,app
376,75,2025-04-23 22:17:04.825044,196.71,withdrawal,app
377,169,2024-12-20 22:17:04.825045,4529.7,deposit,branch
378,665,2025-01-05 22:17:04.825047,1552.63,withdrawal,atm
379,445,2025-03-07 22:17:04.825048,1125.31,payment,app
380,924,2025-05-09 22:17:04.825050,3188.6,payment,branch
381,546,2025-03-21 22:17:04.825052,1342.83,deposit,branch
382,689,2024-09-27 22:17:04.825053,1550.87,withdrawal,atm
383,58,2025-06-04 22:17:04.825055,1223.37,payment,app
384,625,2025-05-20 22:17:04.825056,177.77,payment,app
385,400,2025-09-12 22:17:04.825058,2246.25,deposit,app
386,868,2025-03-26 22:17:04.825059,2039.81,deposit,branch
387,766,2025-06-29 22:17:04.825061,592.21,withdrawal,atm
388,388,2025-04-02 22:17:04.825063,2932.78,payment,branch
389,510,2025-02-05 22:17:04.825064,4006.9,payment,branch
390,348,2024-11-09 22:17:04.825066,3923.63,payment,app
391,784,2025-03-23 22:17:04.825068,4169.68,deposit,branch
392,616,2024-10-10 22:17:04.825069,1397.81,deposit,branch
393,176,2025-07-16 22:17:04.825071,4375.09,withdrawal,branch
394,962,2025-06-28 22:17:04.825072,1862.79,payment,branch
395,684,2025-01-06 22:17:04.825074,2463.83,deposit,app
396,376,2025-06-03 22:17:04.825075,90.8,payment,app
397,431,2025-09-08 22:17:04.825077,1871.76,payment,app
398,961,2025-06-13 22:17:04.825078,774.77,withdrawal,branch
399,1000,2024-11-07 22:17:04.825080,1404.97,withdrawal,branch
400,550,2025-06-17 22:17:04.825082,439.54,deposit,branch
401,707,2025-07-08 22:17:04.825083,427.59,payment,atm
402,394,2025-07-03 22:17:04.825086,1793.66,withdrawal,app
403,726,2025-07-09 22:17:04.825087,358.28,deposit,branch
404,208,2025-04-05 22:17:04.825089,4478.26,withdrawal,atm
405,486,2025-01-04 22:17:04.825091,4556.66,deposit,branch
406,913,2024-11-29 22:17:04.825092,3838.05,withdrawal,atm
407,918,2025-09-17 22:17:04.825094,2530.19,deposit,atm
408,465,2025-04-24 22:17:04.825095,4104.77,payment,atm
409,624,2025-07-01 22:17:04.825097,553.36,deposit,app
410,643,2025-07-09 22:17:04.825099,227.81,deposit,atm
411,58,2025-05-20 22:17:04.825100,4253.15,withdrawal,atm
412,38,2024-11-08 22:17:04.825102,371.24,deposit,app
413,290,2025-05-16 22:17:04.825103,1401.96,withdrawal,branch
414,3,2024-10-04 22:17:04.825105,3129.26,payment,branch
415,622,2024-12-18 22:17:04.825106,1759.22,payment,branch
416,723,2025-05-26 22:17:04.825108,4748.88,deposit,app
417,978,2025-05-05 22:17:04.825109,1074.6,withdrawal,app
418,862,2025-04-02 22:17:04.825111,2377.27,deposit,branch
419,757,2025-07-27 22:17:04.825113,3143.72,withdrawal,atm
420,550,2025-08-13 22:17:04.825114,4044.55,payment,app
421,312,2025-07-08 22:17:04.825116,1423.85,deposit,app
422,111,2025-06-22 22:17:04.825117,1817.71,withdrawal,branch
423,143,2025-02-18 22:17:04.825119,3186.73,payment,atm
424,395,2025-09-06 22:17:04.825120,3923.56,payment,app
425,463,2024-11-21 22:17:04.825122,4908.53,withdrawal,app
426,100,2025-09-09 22:17:04.825124,3220.01,withdrawal,branch
427,512,2025-08-13 22:17:04.825125,3912.56,payment,atm
428,610,2025-05-23 22:17:04.825127,3564.17,deposit,app
429,117,2024-11-17 22:17:04.825129,4314.86,deposit,branch
430,439,2024-10-11 22:17:04.825130,302.68,withdrawal,app
431,483,2024-10-27 22:17:04.825132,1301.14,deposit,app
432,813,2025-02-17 22:17:04.825133,240.03,deposit,app
433,295,2024-12-03 22:17:04.825135,3799.36,deposit,atm
434,728,2025-05-27 22:17:04.825136,4257.47,payment,branch
435,838,2025-07-09 22:17:04.825138,3864.66,withdrawal,app
436,485,2025-07-02 22:17:04.825140,4990.48,payment,app
437,769,2024-09-22 22:17:04.825142,3615.61,deposit,app
438,645,2025-09-03 22:17:04.825144,4101.87,payment,app
